时间,温度(°C),湿度(%RH)
2024-12-04 15:39:23,26.7,44.6
2024-12-04 15:39:23,26.7,44.6
2024-12-04 15:39:23,26.7,44.6
2024-12-04 15:39:26,27.3,44.7
2024-12-04 15:39:26,27.3,44.7
2024-12-04 15:39:26,27.3,44.7
2024-12-04 15:39:26,27.3,44.7
2024-12-04 15:39:28,26.7,45.0
2024-12-04 15:39:28,26.7,45.0
2024-12-04 15:39:28,26.7,45.0
2024-12-04 15:39:30,26.9,44.7
2024-12-04 15:39:32,27.3,44.7
2024-12-04 15:39:32,27.3,44.7
2024-12-04 15:39:34,26.9,45.2
2024-12-04 15:39:37,27.0,45.2
2024-12-04 15:39:37,27.0,45.2
2024-12-04 15:39:39,26.8,45.1
2024-12-04 15:39:41,27.2,45.3
2024-12-04 15:39:41,27.2,45.3
2024-12-04 15:39:43,27.3,44.7
2024-12-04 15:39:45,27.1,45.4
2024-12-04 15:39:48,26.7,45.0
2024-12-04 15:39:48,26.7,45.0
2024-12-04 15:39:50,26.9,44.9
2024-12-04 15:39:52,26.9,45.1
2024-12-04 15:39:52,26.9,45.1
2024-12-04 15:39:54,26.9,44.8
2024-12-04 15:39:56,26.8,45.2
2024-12-04 15:39:56,26.8,45.2
2024-12-04 15:39:59,26.8,45.2
2024-12-04 15:40:01,26.8,45.0
2024-12-04 15:40:01,26.8,45.0
2024-12-04 15:40:03,27.1,45.2
2024-12-04 15:40:05,27.2,45.0
2024-12-04 15:40:05,27.2,45.0
2024-12-04 15:40:07,26.9,45.1
2024-12-04 15:40:10,26.9,44.7
2024-12-04 15:40:10,26.9,44.7
2024-12-04 15:40:12,26.8,44.9
2024-12-04 15:40:14,26.9,44.7
2024-12-04 15:40:14,26.9,44.7
2024-12-04 15:40:16,26.7,44.7
2024-12-04 15:40:16,26.7,44.7
2024-12-04 15:40:16,26.7,44.7
2024-12-04 15:40:16,26.7,44.7
2024-12-04 15:40:18,27.0,45.0
2024-12-04 15:40:18,27.0,45.0
2024-12-04 15:40:18,27.0,45.0
2024-12-04 15:40:18,27.0,45.0
2024-12-04 15:40:18,27.0,45.0
2024-12-04 15:40:20,27.0,45.2
2024-12-04 15:40:20,27.0,45.2
2024-12-04 15:40:20,27.0,45.2
2024-12-04 15:40:20,27.0,45.2
2024-12-04 15:40:23,27.1,45.4
2024-12-04 15:40:23,27.1,45.4
2024-12-04 15:40:25,27.0,45.4
2024-12-04 15:40:25,27.0,45.4
2024-12-04 15:40:27,27.2,45.3
2024-12-04 15:40:27,27.2,45.3
2024-12-04 15:40:27,27.2,45.3
2024-12-04 15:40:47,27.0,45.3
2024-12-04 15:40:47,27.0,45.3
2024-12-04 15:40:47,27.0,45.3
2024-12-04 15:40:47,27.0,45.3
2024-12-04 15:40:49,26.8,44.6
2024-12-04 15:40:49,26.8,44.6
2024-12-04 15:40:51,27.0,44.9
2024-12-04 15:40:51,27.0,44.9
2024-12-04 15:40:53,27.1,44.6
2024-12-04 15:40:56,27.1,44.7
2024-12-04 15:40:56,27.1,44.7
2024-12-04 15:40:58,27.3,45.4
2024-12-04 15:41:00,26.9,45.4
2024-12-04 15:41:00,26.9,45.4
2024-12-04 15:41:02,26.9,44.8
2024-12-04 15:41:02,26.9,44.8
2024-12-04 15:41:04,26.7,44.8
2024-12-04 15:41:07,27.0,44.9
2024-12-04 15:41:07,27.0,44.9
2024-12-04 15:41:09,27.3,45.0
2024-12-04 15:41:11,26.8,44.6
2024-12-04 15:41:11,26.8,44.6
2024-12-04 15:41:13,26.9,44.7
2024-12-04 15:41:15,27.3,45.4
2024-12-04 15:41:15,27.3,45.4
